,"ТЧП, мВ",,,"Tj, C",,,"Tc, C",,,"To, C",,"t, s"
81.71680138,458.642643,,81.71680138,131.8277475,,81.71680138,94.19545917,,81.71680138,47.5690812,104,81.71680138
93.14520578,458.642643,,93.14520578,131.8311762,,93.14520578,94.81994322,,93.14520578,48.98075626,105,93.14520578
106.1719159,458.642643,,106.1719159,131.8346049,,106.1719159,95.28921136,,106.1719159,50.53829149,106,106.1719159
121.0204607,458.7693307,,121.0204607,131.8380336,,121.0204607,95.94040636,,121.0204607,51.89301431,107,121.0204607
137.9456308,458.5658625,,137.9456308,131.8414623,,137.9456308,96.43638132,,137.9456308,53.52475003,108,137.9456308
157.2378501,458.642643,,157.2378501,131.0429286,,157.2378501,97.7321084,,157.2378501,55.20847632,109,157.2378501
179.2281595,458.9497648,,179.2281595,132.2842731,,179.2281595,98.07792417,,179.2281595,57.90903005,110,179.2281595
204.2938969,459.2722426,,204.2938969,132.5287584,,204.2938969,98.90822186,,204.2938969,56.23078642,111,204.2938969
232.8651727,459.8097058,,232.8651727,132.857034,,232.8651727,99.83493128,,232.8651727,58.96531407,112,232.8651727
265.4322497,460.0554032,,265.4322497,132.8809782,,265.4322497,100.2045609,,265.4322497,60.66047823,113,265.4322497
302.5539559,460.3318128,,302.5539559,132.8844068,,302.5539559,100.3362111,,302.5539559,62.13782372,114,302.5539559
344.8672733,460.3318128,,344.8672733,132.8878355,,344.8672733,100.4807592,,344.8672733,63.06212369,115,344.8672733
393.0982686,460.6850028,,393.0982686,132.8913889,,393.0982686,100.4437796,,393.0982686,64.28407934,116,393.0982686
448.0745514,460.8385637,,448.0745514,132.8946929,,448.0745514,99.89966265,,448.0745514,65.54446987,117,448.0745514
510.7394758,460.8385637,,510.7394758,132.8981216,,510.7394758,100.0056686,,510.7394758,66.49508835,118,510.7394758
582.1683273,460.83856,,582.1683273,132.9015503,,582.1683273,99.98345298,,582.1683273,67.20460009,119,582.1683273
663.5867744,460.83855,,663.5867744,132.904979,,663.5867744,99.93046417,,663.5867744,67.43369879,120,663.5867744
756.3918999,460.8385637,,756.3918999,132.9084077,,756.3918999,99.91850626,,756.3918999,67.54483362,121,756.3918999
862.176174,460.8385637,,862.176174,132.9118364,,862.176174,99.92193495,,862.176174,67.60980867,122,862.176174
982.7547798,460.8385637,,982.7547798,132.915265,,982.7547798,99.95955607,,982.7547798,67.77736101,123,982.7547798
1120.196761,460.8385637,,1120.196761,132.9186937,,1120.196761,100.0228215,,1120.196761,67.8936247,124,1120.196761
1276.860523,460.8385637,,1276.860523,133.0879746,,1276.860523,100.1151505,,1276.860523,68.0102001,125,1276.860523
1455.434307,460.8385637,,1455.434307,133.101661,,1455.434307,100.1613197,,1455.434307,68.01362879,126,1455.434307
1658.982312,460.8385637,,1658.982312,133.3427459,,1658.982312,100.1645926,,1658.982312,68.01705747,127,1658.982312
